slope,group
0.9672,FM
0.96093,FM
0.986,FM
0.98742,FM
0.93246,FM
1.00157,FM
1.00901,FM
0.93949,FM
0.9242,FM
0.98156,FM
0.91926,FM
1.00731,FM
0.97233,FM
0.9591,FM
0.87403,FM
1.0116,FM
0.99343,FM
0.93913,FM
0.9553,FM
0.95526,FM
0.9981,FM
0.99427,FM
0.95374,FM
0.98263,FM
0.94177,FM
0.98773,FM
0.98924,FM
0.96009,HM
1.00708,HM
1.04958,HM
1.0899,HM
1.01268,HM
0.92353,HM
0.96967,HM
0.97753,HM
0.99375,HM
0.98016,HM
0.95595,HM
1.01934,HM
0.90534,HM
0.93357,HM
0.98358,HM
1.02979,HM
0.97957,HM
0.97206,HM
0.97242,HM
0.89311,HM
0.98442,HM
0.94304,HM
0.94335,HM
0.96641,HM
1.04842,HM
0.99488,HM
0.93512,HM